"sensor_id","type_name","type","station_name","provider","id","registered_date","sensor","average","unit"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4419,"2023-07-14 00:00:00",39,"31.31","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4420,"2023-07-14 00:15:00",39,"31.29","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4421,"2023-07-14 00:30:00",39,"31.28","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4422,"2023-07-14 00:45:00",39,"31.29","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4423,"2023-07-14 01:00:00",39,"31.27","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4424,"2023-07-14 01:15:00",39,"31.27","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4425,"2023-07-14 01:30:00",39,"31.29","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4426,"2023-07-14 01:45:00",39,"31.26","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4427,"2023-07-14 02:00:00",39,"31.26","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4428,"2023-07-14 02:15:00",39,"31.27","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4429,"2023-07-14 02:30:00",39,"31.25","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4430,"2023-07-14 02:45:00",39,"31.25","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4431,"2023-07-14 03:00:00",39,"31.26","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4432,"2023-07-14 03:15:00",39,"31.26","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4433,"2023-07-14 03:30:00",39,"31.24","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4434,"2023-07-14 03:45:00",39,"31.24","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4435,"2023-07-14 04:00:00",39,"31.22","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4436,"2023-07-14 04:15:00",39,"31.24","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4437,"2023-07-14 04:30:00",39,"31.23","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4438,"2023-07-14 04:45:00",39,"31.23","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4439,"2023-07-14 05:00:00",39,"31.25","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4440,"2023-07-14 05:15:00",39,"31.24","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4441,"2023-07-14 05:30:00",39,"31.22","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4442,"2023-07-14 05:45:00",39,"31.22","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4443,"2023-07-14 06:00:00",39,"31.24","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4444,"2023-07-14 06:15:00",39,"31.23","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4445,"2023-07-14 06:30:00",39,"31.22","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4446,"2023-07-14 06:45:00",39,"31.2","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4447,"2023-07-14 07:00:00",39,"31.22","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4448,"2023-07-14 07:15:00",39,"31.23","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4449,"2023-07-14 07:30:00",39,"31.22","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4450,"2023-07-14 07:45:00",39,"31.21","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4451,"2023-07-14 08:00:00",39,"31.2","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4452,"2023-07-14 08:15:00",39,"31.21","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4453,"2023-07-14 08:30:00",39,"31.22","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4454,"2023-07-14 08:45:00",39,"31.22","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4455,"2023-07-14 09:00:00",39,"31.2","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4456,"2023-07-14 09:15:00",39,"31.19","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4457,"2023-07-14 09:30:00",39,"31.18","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4458,"2023-07-14 09:45:00",39,"31.18","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4459,"2023-07-14 10:00:00",39,"31.18","%"
39,"EAG Soil moisture 1",9,"Estacion Blas 1","Metos",4460,"2023-07-14 10:15:00",39,"31.16","%"
