"sensor_id","type_name","type","station_name","provider","id","registered_date","sensor","value","unit"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9094,"2023-07-14 00:00:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9095,"2023-07-14 00:15:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9096,"2023-07-14 00:30:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9097,"2023-07-14 00:45:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9098,"2023-07-14 01:00:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9099,"2023-07-14 01:15:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9100,"2023-07-14 01:30:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9101,"2023-07-14 01:45:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9102,"2023-07-14 02:00:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9103,"2023-07-14 02:15:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9104,"2023-07-14 02:30:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9105,"2023-07-14 02:45:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9106,"2023-07-14 03:00:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9107,"2023-07-14 03:15:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9108,"2023-07-14 03:30:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9109,"2023-07-14 03:45:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9110,"2023-07-14 04:00:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9111,"2023-07-14 04:15:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9112,"2023-07-14 04:30:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9113,"2023-07-14 04:45:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9114,"2023-07-14 05:00:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9115,"2023-07-14 05:15:00",31,"0","mV"
31,"Solar Panel",1,"Estacion Blas 1","Metos",9116,"2023-07-14 05:30:00",31,"0","mV"
