"sensor_id","type_name","type","station_name","provider","id","registered_date","sensor","average","minimum","maximum","unit"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4707,"2023-07-14 00:00:00",33,"22.9","22.9","22.9","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4708,"2023-07-14 00:15:00",33,"22.9","22.9","23","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4709,"2023-07-14 00:30:00",33,"22.8","22.8","22.9","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4710,"2023-07-14 00:45:00",33,"22.7","22.7","22.7","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4711,"2023-07-14 01:00:00",33,"22.7","22.7","22.8","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4712,"2023-07-14 01:15:00",33,"22.7","22.7","22.7","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4713,"2023-07-14 01:30:00",33,"22.5","22.5","22.5","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4714,"2023-07-14 01:45:00",33,"22.5","22.5","22.5","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4715,"2023-07-14 02:00:00",33,"22.5","22.5","22.6","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4716,"2023-07-14 02:15:00",33,"22.3","22.3","22.4","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4717,"2023-07-14 02:30:00",33,"22.3","22.3","22.4","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4718,"2023-07-14 02:45:00",33,"22.3","22.3","22.4","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4719,"2023-07-14 03:00:00",33,"22.2","22.2","22.2","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4720,"2023-07-14 03:15:00",33,"22.1","22.1","22.2","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4721,"2023-07-14 03:30:00",33,"22.1","22.1","22.1","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4722,"2023-07-14 03:45:00",33,"22.1","22.1","22.1","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4723,"2023-07-14 04:00:00",33,"22","22","22.1","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4724,"2023-07-14 04:15:00",33,"22","22","22","°C"
33,"Soil temperature 1",3,"Estacion Blas 1","Metos",4725,"2023-07-14 04:30:00",33,"21.9","21.9","22","°C"
