"sensor_id","type_name","type","station_name","provider","id","registered_date","sensor","average","unit"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4419,"2023-07-14 00:00:00",45,"1601.445","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4420,"2023-07-14 00:15:00",45,"1600.216","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4421,"2023-07-14 00:30:00",45,"1599.7263","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4422,"2023-07-14 00:45:00",45,"1599.4893","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4423,"2023-07-14 01:00:00",45,"1597.0613","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4424,"2023-07-14 01:15:00",45,"1596.8226","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4425,"2023-07-14 01:30:00",45,"1596.5813","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4426,"2023-07-14 01:45:00",45,"1596.58","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4427,"2023-07-14 02:00:00",45,"1595.3883","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4428,"2023-07-14 02:15:00",45,"1595.3903","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4429,"2023-07-14 02:30:00",45,"1593.9606","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4430,"2023-07-14 02:45:00",45,"1593.256","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4431,"2023-07-14 03:00:00",45,"1592.314","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4432,"2023-07-14 03:15:00",45,"1591.151","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4433,"2023-07-14 03:30:00",45,"1592.0806","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4434,"2023-07-14 03:45:00",45,"1590.447","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4435,"2023-07-14 04:00:00",45,"1589.5216","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4436,"2023-07-14 04:15:00",45,"1587.6833","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4437,"2023-07-14 04:30:00",45,"1588.1423","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4438,"2023-07-14 04:45:00",45,"1587.9153","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4439,"2023-07-14 05:00:00",45,"1586.7716","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4440,"2023-07-14 05:15:00",45,"1585.8633","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4441,"2023-07-14 05:30:00",45,"1585.862","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4442,"2023-07-14 05:45:00",45,"1584.5086","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4443,"2023-07-14 06:00:00",45,"1583.841","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4444,"2023-07-14 06:15:00",45,"1582.3865","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4445,"2023-07-14 06:30:00",45,"1583.6153","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4446,"2023-07-14 06:45:00",45,"1581.8326","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4447,"2023-07-14 07:00:00",45,"1581.6123","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4448,"2023-07-14 07:15:00",45,"1580.7286","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4449,"2023-07-14 07:30:00",45,"1579.8516","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4450,"2023-07-14 07:45:00",45,"1579.4176","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4451,"2023-07-14 08:00:00",45,"1579.4146","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4452,"2023-07-14 08:15:00",45,"1578.9806","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4453,"2023-07-14 08:30:00",45,"1577.8906","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4454,"2023-07-14 08:45:00",45,"1577.6726","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4455,"2023-07-14 09:00:00",45,"1578.545","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4456,"2023-07-14 09:15:00",45,"1575.7436","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4457,"2023-07-14 09:30:00",45,"1575.7343","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4458,"2023-07-14 09:45:00",45,"1575.5233","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4459,"2023-07-14 10:00:00",45,"1577.024","VIC"
45,"Volumetric Ionic Content 1",15,"Estacion Blas 1","Metos",4460,"2023-07-14 10:15:00",45,"1575.9493","VIC"
